,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,Winery,Grapes,Region,Alcohol content,Pairings,imgurl,rec_id
218,218,218,218,218,218,218,218,218,218,Gran Maestro Appassimento Rosso,2019,Red wine,Blend,561 ratings,"20,292",Maestro Italiano,"Sangiovese, Primitivo, Negroamaro",Italy / Puglia,14.0,"['Beef', 'Pasta', 'Lamb']",//images.vivino.com/thumbs/DmSIKmLEQ5qgsFWEUMEAmA_pb_x600.png,"1487, 1291, 1465, 316, 1843, 1884"
219,219,219,219,219,219,219,219,219,219,Clement de Lure Methode Cap Classique Brut,2016,Sparkling wine,Chenin Blanc,571 ratings,"32,693",Stellenrust,100% Chenin Blanc,South Africa / Western Cape / Coastal Region / Stellenbosch,12.0,,//images.vivino.com/thumbs/6ZFmEm0eRYanaZK9D64bug_pb_x600.png,"8, 15, 23, 31, 38, 41"
220,220,220,220,220,220,220,220,220,220,Submission Red,2019,Red wine,Blend,613 ratings,"25,929",Submission,,United States / California,14.5,"['Beef', 'Lamb', 'Veal', 'Poultry']",//images.vivino.com/thumbs/4OCcLSDYSsa_lk1lBHg_DQ_pb_x600.png,"98, 949, 1048, 1566, 1841, 393"
221,221,221,221,221,221,221,221,221,221,Rioja Reserva,2015,Red wine,Blend,664 ratings,"28,184",Vi筌_ Salceda,"Tempranillo, Graciano",Spain / Rioja,13.5,"['Beef', 'Lamb', 'Veal', 'Poultry']",//images.vivino.com/thumbs/SJgwK658Try-ICn9A9nYPg_pb_x600.png,"371, 1116, 1073, 951, 639, 709"
222,222,222,222,222,222,222,222,222,222,Le Pur Fruit du Causse Cahors,2019,Red wine,Malbec,713 ratings,"32,283",Ch筌_eau Combel La Serre,100% Malbec,France / South West France / Haut-Pays / Cahors,12.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/xsWwHB47QTmpOkKb-SOnEw_pb_x600.png,"443, 724, 726, 990, 996, 884"
223,223,223,223,223,223,223,223,223,223,Squinzano Riserva,2013,Red wine,Blend,757 ratings,"23,674",Conte di Campiano,"Negroamaro, Malvasia Nera",Italy / Puglia / Squinzano,13.5,"['Beef', 'Pasta', 'Lamb']",//images.vivino.com/thumbs/1CU3YcZ0RMWW7W9vjbCGiw_pb_x600.png,"1853, 262, 1702, 1270, 160, 1843"
224,224,224,224,224,224,224,224,224,224,Les Sorcie_es Ce_es du Roussillon Rouge,2018,Red wine,Blend,767 ratings,"41,958",Domaine du Clos des F筌_s,"50% Shiraz/Syrah, 30% Grenache, 20% Carignan",France / Languedoc-Roussillon / C筌_es du Roussillon,13.5,"['Beef', 'Pasta', 'Veal']",//images.vivino.com/thumbs/ETX0gR84S2WqaAmV8hijUA_pb_x600.png,"2013, 462, 1679, 1961, 1614, 252"
225,225,225,225,225,225,225,225,225,225,Qvinterra Riesling Trocken,2020,White wine,Riesling,816 ratings,"36,075",Ke_ling-Gillot,100% Riesling,Germany / Rheinhessen,12.0,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/taovezLVTEuTFMOfUa7zrw_pb_x600.png,"750, 142, 490, 326, 474, 473"
226,226,226,226,226,226,226,226,226,226,Castillon - Ce_es de Bordeaux,2011,Red wine,Blend,814 ratings,"58,417",Ch筌_eau d'Aiguilhe,"80% Merlot, 20% Cabernet Franc",France / Bordeaux / C筌_es de Bordeaux / Castillon - C筌_es de Bordeaux,13.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/QHH9NQELQ_yp_NDEjtzfYg_pb_x600.png,"1545, 844, 815, 1352, 1077, 1275"
227,227,227,227,227,227,227,227,227,227,Quota 29 Primitivo,2019,Red wine,Primitivo,857 ratings,"22,547",Menhir,100% Primitivo,Italy / Puglia / Salento,14.0,"['Beef', 'Pasta', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/WtjloNOyTtaA8B1QCvagpg_pb_x600.png,"1307, 1896, 1868, 1575, 276, 1542"
228,228,228,228,228,228,228,228,228,228,The Peppermint Paddock Chambourcin,2016,Sparkling wine,Chambourcin,923 ratings,"42,839",d'Arenberg,100% Chambourcin,Australia / South Australia / Fleurieu / McLaren Vale,13.0,,//images.vivino.com/thumbs/4kQs2OC4SiSfapUmGTJRMA_pb_x600.png,"8, 15, 23, 31, 38, 41"
229,229,229,229,229,229,229,229,229,229,La Truffie_e Rouge,2017,Red wine,Blend,65 ratings,"65,632",Danjou-Banessy,"Grenache, Carignan",France / Vin de Pays / Pays d'Oc / C筌_es Catalanes,13.5,"['Beef', 'Pasta', 'Veal']",//images.vivino.com/thumbs/NfyBACIdQtCL3cyg0Hb2xg_pb_x600.png,"1949, 327, 1004, 1947, 985, 699"
230,230,230,230,230,230,230,230,230,230,Le Naturel Red,2020,Red wine,Garnacha,988 ratings,"22,547",Aroa,100% Garnacha,Spain / Navarra,14.0,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/yDF3vLPnRDWoCIR14npriQ_pb_x600.png,"1152, 1432, 1502, 1417, 1029, 1379"
231,231,231,231,231,231,231,231,231,231,Lucky Draw Cabernet Sauvignon,2018,Red wine,Cabernet Sauvignon,1059 ratings,"33,820",689 - Six Eight Nine,Cabernet Sauvignon,United States / California,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/6DNA13rlRu6-ah3Q0Dp9nA_pb_x600.png,"56, 1060, 641, 971, 117, 1904"
232,232,232,232,232,232,232,232,232,232,Zinfandel Bourbon Barrel Aged,2015,Red wine,Blend,1387 ratings,"58,622",The Federalist,"93% Zinfandel, 3% Cabernet Sauvignon, 2% Malbec, 2% Merlot",United States / California / North Coast / Mendocino County,15.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/uAO1gRVIQDy44ymxXNz0EQ_pb_x600.png,"1601, 1675, 835, 1890, 677, 1154"
233,233,233,233,233,233,233,233,233,233,Cabernet Sauvignon,2018,Red wine,Cabernet Sauvignon,1424 ratings,"33,820",Hess Select,100% Cabernet Sauvignon,United States / California / North Coast,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/NVn3E4idRjOIsT2wQ0iQyg_pb_x600.png,"740, 1864, 1541, 1181, 527, 762"
234,234,234,234,234,234,234,234,234,234,Finca el Lince Monastrell,2017,Red wine,Mourvedre,1628 ratings,"27,056",Familia Bastida,100% Mourvedre,Spain / Murcia / Jumilla,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/ZXnWn7bZSQKwqt56JX2Bjg_pb_x600.png,"1606, 1694, 628, 800, 1306, 304"
235,235,235,235,235,235,235,235,235,235,Nebbiolo Langhe,2019,Red wine,Nebbiolo,1696 ratings,"39,457",Produttori del Barbaresco,100% Nebbiolo,Italy / Piemonte / Langhe,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/aq8DJmnfQbaFrGjNGV3Msw_pb_x600.png,"1220, 1874, 166, 1794, 1578, 1255"
236,236,236,236,236,236,236,236,236,236,7 Deadly Zins Old Vine Zinfandel,2018,Red wine,Zinfandel,1747 ratings,"30,746",7 Deadly Wines,100% Zinfandel,United States / California / Central Valley / Lodi,13.0,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/u_WjtzVuQUeBb5hi43N6zw_pb_x600.png,"240, 1648, 608, 836, 137, 239"
237,237,237,237,237,237,237,237,237,237,Me_oc,2016,Red wine,Cabernet Sauvignon,2003 ratings,"69,896",Che_eau La Tour de By,100% Cabernet Sauvignon,France / Bordeaux / M筌_oc,13.0,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/EteUSLEcQ0adm4N8u-vszg_pb_x600.png,"5, 281, 567, 1782, 1034, 814"
238,238,238,238,238,238,238,238,238,238,Finca el Lince Special Edition,2017,Red wine,Blend,2162 ratings,"27,056",Familia Bastida,"Shiraz/Syrah, Monastrell",Spain / Murcia / Jumilla,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/JnOmdMbfSq-Lyl-dukv3Lg_pb_x600.png,"343, 399, 1173, 1278, 1784, 1511"
239,239,239,239,239,239,239,239,239,239,Zinfandel,2016,Red wine,Zinfandel,2194 ratings,"51,858",The Federalist,100% Zinfandel,United States / California / Central Valley / Lodi,14.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/-K9EclZNRQyuDoCnbRze1g_pb_x600.png,"239, 836, 835, 1890, 1512, 677"
240,240,240,240,240,240,240,240,240,240,Diamond Collection Zinfandel,2018,Red wine,Zinfandel,504 ratings,"31,566",Francis Ford Coppola Winery,100% Zinfandel,United States / California,13.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/aoI76a0RQUOvK536xZXRvg_pb_x600.png,"1648, 1154, 236, 137, 239, 835"
241,241,241,241,241,241,241,241,241,241,Petite Petit,2019,Red wine,Petite Sirah,481 ratings,"33,820",Michael David Winery,100% Petite Sirah,United States / California / Central Valley / Lodi,14.5,"['Beef', 'Lamb', 'Veal', 'Poultry']",//images.vivino.com/thumbs/3diCRTAQR46qdgMZMgSU5Q_pb_x600.png,"1350, 1316, 290, 1360, 1200, 1401"
242,242,242,242,242,242,242,242,242,242,Torre de Menagem Alvarinho - Trajadura,2020,White wine,Blend,316 ratings,"13,528",Quintas de Melga筌_,"Trajadura, Alvarinho",Portugal / Minho / Vinho Verde,13.5,"['Shellfish', 'Vegetarian', 'Appetizers and snacks']",//images.vivino.com/thumbs/zD_3oVhaQ_qCbUmuP1G9Ig_pb_x600.png,"2006, 1519, 187, 407, 320, 1228"
243,243,243,243,243,243,243,243,243,243,Atlantis Albarie_,2019,White wine,Albarie_,471 ratings,"29,311",Castillo de Maetierra,100% Albari筌_,Spain / Galicia / R筌_s Baixas,12.5,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",//images.vivino.com/thumbs/SE6podzzSm-aFZb8pmq6yQ_pb_x600.png,"185, 360, 1589, 542, 1934, 1729"
244,244,244,244,244,244,244,244,244,244,Spe_burgunder Vom Le_s,2019,Red wine,Pinot Noir,321 ratings,"30,746",Franz Keller,100% Pinot Noir,Germany / Baden,13.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/2xTlVoZdQlaABN7cBUHKRg_pb_x600.png,"978, 1962, 1447, 212, 1480, 1652"
245,245,245,245,245,245,245,245,245,245,Sauvignon Blanc 'Petit Villebois',2020,White wine,Sauvignon Blanc,322 ratings,"22,547",Villebois,Sauvignon Blanc,France / Vin de France,13.5,,//images.vivino.com/thumbs/NJc9bFAPSMS_hrWSd4G7lw_pb_x600.png,"8, 15, 23, 31, 38, 41"
246,246,246,246,246,246,246,246,246,246,Mamba,2018,Red wine,Tempranillo,329 ratings,"26,493",La Quinta,Tempranillo,Spain / Castilla y Le筌_ / Ribera del Duero,13.5,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/3_jW8YAUQUOoMoqeIjsxbQ_pb_x600.png,"752, 561, 413, 598, 956, 587"
247,247,247,247,247,247,247,247,247,247,Saint-Georges Saint-_ilion,2016,Red wine,Blend,334 ratings,"21,983",Ch筌_eau Cap d?_,"86% Merlot, 14% Cabernet Franc",France / Bordeaux / Libournais / Saint-_ilion / Saint-Georges-Saint-_ilion,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/ktPPA4jLTt2c7R6B-BTN9g_pb_x600.png,"616, 1167, 222, 1747, 443, 724"
248,248,248,248,248,248,248,248,248,248,Carmene_e Reserva,2018,Red wine,Carme_e_e,347 ratings,"13,528",Falernia,Carme_e_e,Chile / Coquimbo / Elqui Valley,14.0,"['Beef', 'Pasta', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/9sXGwBZDQXSLPiOmhlSGuw_pb_x600.png,"972, 177, 251, 1724, 1393, 1509"
249,249,249,249,249,249,249,249,249,249,No. 1 Cuve_,2016,Sparkling wine,Blend,349 ratings,"59,749",No.1 Family Estate,"Chardonnay, Pinot Noir",New Zealand / South Island / Marlborough,12.5,,//images.vivino.com/thumbs/uKDEBRW9S_eb8_jVoF1TIA_pb_x600.png,"8, 15, 23, 31, 38, 41"
250,250,250,250,250,250,250,250,250,250,Mimetic,2019,Red wine,Blend,349 ratings,"20,292",Gallina de Piel,"98% Garnacha, 2% Monastrell",Spain / Arag筌_ / Calatayud,14.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/jCqKr0soRgKAmMuf_iG3RQ_pb_x600.png,"1003, 101, 155, 421, 600, 1981"
251,251,251,251,251,251,251,251,251,251,A Touriga Vai Nua (Unoaked),2020,Red wine,Touriga Nacional,358 ratings,"54,113",Fitapreta,100% Touriga Nacional,Portugal / Alentejano / Alentejo,13.0,"['Beef', 'Lamb', 'Veal', 'Poultry']",//images.vivino.com/thumbs/cNcHgRPuSr6Gffbp2nl17g_pb_x600.png,"48, 177, 972, 758, 373, 621"
252,252,252,252,252,252,252,252,252,252,Segna de Cor,2014,Red wine,Blend,357 ratings,"41,958",Le Roc des Anges,"Shiraz/Syrah, Grenache, Carignan",France / Languedoc-Roussillon / C筌_es du Roussillon / C筌_es du Roussillon Villages,13.5,"['Beef', 'Pasta', 'Veal']",//images.vivino.com/thumbs/OriTqHRPRuadxlxuqV4bsQ_pb_x600.png,"1531, 2013, 224, 1092, 924, 1188"
253,253,253,253,253,253,253,253,253,253,The Footbolt Shiraz,2019,Red wine,Chardonnay,376 ratings,"28,184",d'Arenberg,100% Chardonnay,Australia / South Australia / Fleurieu / McLaren Vale,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/oB8mYfWfSm6-HronMqQtPQ_pb_x600.png,"42, 208, 1081, 841, 899, 1063"
254,254,254,254,254,254,254,254,254,254,La Garnacha Salvaje del Moncayo,2019,Red wine,Garnacha,386 ratings,"22,547",Proyecto Garnachas de Espa筌_,100% Garnacha,Spain / Arag筌_,14.0,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/VvUshPYjQvOMv3N2t0D6KQ_pb_x600.png,"1499, 1295, 1290, 183, 1112, 1530"
255,255,255,255,255,255,255,255,255,255,Morellino di Scansano,2019,Red wine,Sangiovese,385 ratings,"29,721",Terenzi,100% Sangiovese,Italy / Toscana / Morellino di Scansano,13.5,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/ppto8aJVQxei1vqt0r-W_Q_pb_x600.png,"1708, 108, 1752, 935, 285, 1134"
256,256,256,256,256,256,256,256,256,256,Riesling Classic,2019,White wine,Riesling,391 ratings,"29,311",Kloster Eberbach,Riesling,Germany / Rheingau,13.5,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/qiPlfqLVTj6tms1ftg8U_A_150x200.jpg,"266, 490, 1775, 474, 143, 57"
257,257,257,257,257,257,257,257,257,257,Greco di Tufo,2019,White wine,Greco,392 ratings,"42,948",Cantine di Marzo,Greco,Italy / Campania / Greco di Tufo,13.5,"['Shellfish', 'Vegetarian', 'Appetizers and snacks']",//images.vivino.com/thumbs/OUsjYs4fRmm2nFX5UcV4qg_pb_x600.png,"837, 1440, 165, 624, 918, 1769"
258,258,258,258,258,258,258,258,258,258,L'Estel,2016,Red wine,Blend,399 ratings,"27,671",Here_cia Alt筌_,"Shiraz/Syrah, Cari筌_na, Garnacha",Spain / Catalunya / Terra Alta,14.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/U3RbyOmzS-eJ83_LTfqs5g_pb_x600.png,"260, 535, 1096, 1056, 626, 1705"
259,259,259,259,259,259,259,259,259,259,Bianco,2020,White wine,Blend,402 ratings,"41,035",Cantina Cinque Terre,"Vermentino, Bosco, Albarola",Italy / Liguria / Cinque Terre,13.5,"['Pasta', 'Shellfish', 'Mature and hard cheese', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/x-JwR1EDS3iwFWnwdDQ5vQ_pb_x600.png,"945, 1640, 2003, 587, 941, 573"
260,260,260,260,260,260,260,260,260,260,Tintilla,2014,Red wine,Tintilla de Rota,407 ratings,"37,202",Vara Y Pulgar,100% Tintilla de Rota,Spain / Andaluc筌_ / C筌_iz,13.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/V97wF-NDQUeCwL9PfoOnvg_pb_x600.png,"626, 258, 1409, 1497, 40, 173"
261,261,261,261,261,261,261,261,261,261,Into the Fog Pinot Noir,2019,Red wine,Pinot Noir,409 ratings,"30,438",Storyteller,Pinot Noir,United States / California / North Coast / Sonoma County,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/YPKptYrtSiCPfMg1ZMOqRg_150x200.jpg,"645, 1882, 718, 1284, 897, 1237"
262,262,262,262,262,262,262,262,262,262,Neromora Aglianico,2018,Red wine,Aglianico,413 ratings,"20,497",Vinosia,100% Aglianico,Italy / Campania / Irpinia,13.5,"['Beef', 'Pasta', 'Lamb']",//images.vivino.com/thumbs/ZFQFQhKDS6eelyra6SvtPg_pb_x600.png,"1853, 223, 1454, 160, 435, 1888"
263,263,263,263,263,263,263,263,263,263,Tre_ Bagos Reserva Tinto,2016,Red wine,Blend,414 ratings,"27,169",Lavradores de Feitoria,"Touriga Franca, Tinta C筌_, Touriga Nacional",Portugal / Duriense / Douro,14.0,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/o6-6YvmqQFa9XFRRKh_Q-w_pb_x600.png,"747, 406, 562, 1610, 1213, 566"
264,264,264,264,264,264,264,264,264,264,Dream Vintage Brut Champagne Grand Cru 'Bouzy',2013,Sparkling wine,Chardonnay,417 ratings,"112,284",Andre Clouet,Chardonnay,France / Champagne / Montagne de Reims / Champagne Grand Cru 'Bouzy',13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/ZQ2iNj1WTe6ZZgdLPVKErg_pb_x600.png,"1563, 1625, 1629, 1849, 1897, 1292"
265,265,265,265,265,265,265,265,265,265,California Butter Chardonnay,2020,White wine,Chardonnay,439 ratings,"39,457",JaM Cellars,100% Chardonnay,United States / California,14.8,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",//images.vivino.com/thumbs/QSkjdKrcTtGTQTD6lphd3Q_pb_x600.png,"379, 1875, 560, 164, 541, 549"
266,266,266,266,266,266,266,266,266,266,Riesling Classic,2017,White wine,Riesling,436 ratings,"29,311",Kloster Eberbach,Riesling,Germany / Rheingau,13.5,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/ColP-PJdRuOXqI8CMiUaHw_150x200.jpg,"266, 490, 1775, 474, 143, 57"
267,267,267,267,267,267,267,267,267,267,Saint-Esprit Ce_es-du-Rhe_e,2020,Red wine,Pinot Noir,447 ratings,"21,420",Delas,Pinot Noir,France / Rhone Valley / Southern Rh筌_e / C筌_es-du-Rh筌_e,14.5,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/w2UpieGjTZ-NwGH0ZKIkkg_pb_x600.png,"885, 998, 1895, 1703, 1143, 1720"
268,268,268,268,268,268,268,268,268,268,Valmaggiore Nebbiolo d'Alba,2019,Red wine,Nebbiolo,452 ratings,"33,482",Giacomo Grimaldi,100% Nebbiolo,Italy / Piemonte / Nebbiolo d'Alba,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/1hRw-bb-SrObwzxRdIvwvA_pb_x600.png,"409, 1017, 235, 1894, 1050, 1578"
269,269,269,269,269,269,269,269,269,269,Blanc de Blancs Extra Brut Champagne Grand Cru 'Oger',2016,Sparkling wine,Chardonnay,461 ratings,"68,768",Chapuy,Chardonnay,France / Champagne / C筌_e des Blancs / Champagne Grand Cru 'Oger',13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/WZft9cYsSsqGm2rhk_uU-A_pb_x600.png,"205, 1991, 923, 950, 414, 1612"
270,270,270,270,270,270,270,270,270,270,Cabernet Sauvignon,2019,Red wine,Blend,469 ratings,"25,929",Submission,"Merlot, Cabernet Sauvignon, Petit Verdot",United States / California,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/fSr6pba7SQuaibh9nXGWSA_pb_x600.png,"784, 408, 848, 1634, 2018, 1336"
271,271,271,271,271,271,271,271,271,271,Eberle Estate Vineyard Chardonnay,2017,White wine,Chardonnay,64 ratings,"39,457",Eberle,100% Chardonnay,United States / California / Central Coast / San Luis Obispo County / Paso Robles,14.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",//images.vivino.com/thumbs/5Fn4mS2tTPuBXlkj0-f8Aw_pb_x600.png,"2001, 1707, 953, 1878, 14, 604"
272,272,272,272,272,272,272,272,272,272,Purus  Gre_er Veltliner,2017,White wine,Gre_er Veltliner,72 ratings,"44,581",Weszeli,100% Gr筌_er Veltliner,Austria / Weinland / Nieder筌_terreich / Kamptal,13.5,"['Pork', 'Vegetarian', 'Poultry', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/PgS4z3CIQBGDMPOkax4tsQ_pb_x600.png,"139, 1623, 1053, 656, 168, 789"
273,273,273,273,273,273,273,273,273,273,Vigne Rovettaz Fumin,2015,Red wine,Fumin,65 ratings,"72,150",Grosjean,Fumin,Italy / Valle d'Aosta,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/g8VVGySVSO6amnHWCJgH8w_pb_x600.png,"1821, 305, 929, 1880, 1246, 1023"
274,274,274,274,274,274,274,274,274,274,Remordimiento Tinto,2018,Red wine,Blend,370 ratings,"25,929",Bodega Cerr筌_,"80% Monastrell, 20% Shiraz/Syrah",Spain / Murcia / Jumilla,14.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",//images.vivino.com/thumbs/6kRZt6uxQ22fov0SrvbUnw_pb_x600.png,"486, 84, 865, 1212, 1265, 572"
275,275,275,275,275,275,275,275,275,275,Cordon Bleu Brut Rose Champagne,2016,Sparkling wine,Blend,373 ratings,"94,697",De Venoge,"Pinot Meunier, Pinot Noir, Chardonnay",France / Champagne,12.0,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/cit1e_zuT_W9LQA5mdem4w_pb_x600.png,"1816, 1838, 2016, 384, 380, 376"
276,276,276,276,276,276,276,276,276,276,Monte dei Cocci Primitivo di Manduria,2015,Red wine,Primitivo,372 ratings,"35,669.30",Girolamo,Primitivo,Italy / Puglia / Primitivo di Manduria,14.0,"['Beef', 'Pasta', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/76zW85ZCReuubjshh0_4TQ_pb_x600.png,"1542, 1760, 227, 1896, 1307, 1575"
277,277,277,277,277,277,277,277,277,277,Riverside Grenache - Mataro - Shiraz,2017,Red wine,Blend,379 ratings,"34,948",Powell & Son,"Shiraz/Syrah, Mourvedre, Grenache",Australia / South Australia / Barossa / Barossa Valley,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/wZhxRjOdTPCSlY5wYk7dmA_pb_x600.png,"464, 782, 1598, 451, 1994, 1725"
278,278,278,278,278,278,278,278,278,278,Se_ection de Parcelles Champagne Premier Cru,2016,Sparkling wine,Blend,379 ratings,"75,532",Henriet-Bazin,"Pinot Nero, Chardonnay",France / Champagne / Champagne Premier Cru,12.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/07PKbtZmQeWnauZ9AVl74g_pb_x600.png,"332, 1607, 1863, 1595, 1630, 292"
279,279,279,279,279,279,279,279,279,279,El Pacto de la Sonsierra,2019,Red wine,Tempranillo,384 ratings,"33,820",El Pacto,100% Tempranillo,Spain / Rioja,13.5,"['Beef', 'Lamb', 'Veal', 'Poultry']",//images.vivino.com/thumbs/Ha3xWyerRi2JNWMXF0ymQg_pb_x600.png,"1287, 215, 1278, 1489, 1511, 795"
280,280,280,280,280,280,280,280,280,280,Cabernet Sauvignon,2019,Red wine,Cabernet Sauvignon,393 ratings,"44,868",Ca' Momi,100% Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley,13.9,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",//images.vivino.com/thumbs/NnwYe5cCTt29H3CGSYbEjw_pb_x600.png,"1272, 1072, 1296, 1919, 1368, 928"
281,281,281,281,281,281,281,281,281,281,Haut-Me_oc,2015,Red wine,Blend,414 ratings,"40,994",Che_eau Bernadotte,"60% Merlot, 40% Cabernet Sauvignon",France / Bordeaux / M筌_oc / Haut-M筌_oc,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/U3OMmYfJSViDR5tRpzsOuA_pb_x600.png,"567, 1034, 1782, 5, 1596, 237"
282,282,282,282,282,282,282,282,282,282,Amy's,2018,Red wine,Blend,443 ratings,"41,486",Moss Wood,"76% Cabernet Sauvignon, 8% Malbec, 8% Merlot, 8% Petit Verdot",Australia / Western Australia / South West Australia / Margaret River,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/2hptxAZtTYCvfXgmIp6vUQ_pb_x600.png,"1946, 1200, 1401, 1360, 1171, 1802"
283,283,283,283,283,283,283,283,283,283,Cabernet Sauvignon,2019,Red wine,Cabernet Sauvignon,455 ratings,"52,985",Smith & Hook,100% Cabernet Sauvignon,United States / California / Central Coast,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/H4p3bCe-TpyZVjx_I5_AZA_pb_x600.png,"529, 174, 1541, 686, 1734, 527"
284,284,284,284,284,284,284,284,284,284,Skins,2020,White wine,Blend,475 ratings,"32,693",Field Recordings,"Chenin Blanc, Pinot Gris, Riesling, Verdelho",United States / California / Central Coast,12.1,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/MvL1_ZmcSe6n5cVAlveCdQ_pb_x600.png,"189, 1898, 1847, 569, 1811, 1876"
285,285,285,285,285,285,285,285,285,285,Rosso di Montalcino,2019,Red wine,Sangiovese,480 ratings,"37,407",Argiano,100% Sangiovese,Italy / Toscana / Rosso di Montalcino,14.5,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/o6utJqeaSzC5dbyYW7TQLw_pb_x600.png,"1256, 867, 331, 255, 1516, 1134"
286,286,286,286,286,286,286,286,286,286,Marsala Superiore Dolce,2016,Fortified Wine,Blend,481 ratings,"30,889",Curatolo Arini,"Grillo, Inzolia",Italy / Terre Siciliane / Marsala,18.0,,//images.vivino.com/thumbs/ctF0WiWVSqm-DlKM4OOYwA_pb_x600.png,"8, 15, 23, 31, 38, 41"
