,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,Winery,Grapes,Region,Alcohol content,Pairings,imgurl,rec_id
857,857,857,857,857,857,857,857,857,857,Cuve_ Confidence Ce_es du Rhe_e Rouge,2020,Red wine,Blend,106 ratings,"21,010",Domaine Fond Croze,"70% Grenache, 30% Shiraz/Syrah",France / Rhone Valley / Southern Rh筌_e / C筌_es-du-Rh筌_e,14.0,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/H14bfntgSPCtyUKveyJJhg_pb_x600.png,"1543, 785, 998, 1457, 1720, 1195"
858,858,858,858,858,858,858,858,858,858,The Feral Fox Pinot Noir,2018,Red wine,Pinot Noir,81 ratings,"36,075",d'Arenberg,100% Pinot Noir,Australia / South Australia / Mount Lofty Ranges / Adelaide Hills,14.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/jS50-vTvSg6J90a5mPI_mA_pb_x600.png,"58, 432, 1442, 112, 1740, 1491"
859,859,859,859,859,859,859,859,859,859,Merlot,2014,Red wine,Merlot,78 ratings,"41,712",Paraschos,100% Merlot,Italy / Friuli-Venezia Giulia,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/7tnEyY1LRzeFAhiCp7UClA_pb_x600.png,"162, 1993, 631, 759, 1637, 1573"
860,860,860,860,860,860,860,860,860,860,Loibenberg Riesling,2017,White wine,Riesling,60 ratings,"75,532",Pichler-Krutzler,100% Riesling,Austria / Weinland / Nieder筌_terreich / Wachau,13.0,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/vBFY7pg4QcqNbDx5_-1fiw_pb_x600.png,"458, 557, 1642, 1338, 1603, 1184"
861,861,861,861,861,861,861,861,861,861,La Boheme Cuve_ Rose,2016,Sparkling wine,Blend,78 ratings,"38,412",De Bortoli,"Chardonnay, Pinot Noir, Pinot Meunier",Australia / Victoria / Port Phillip / Yarra Valley,13.5,,//images.vivino.com/thumbs/VpcH4Np7SJ6fOkGM7bf_7g_pb_x600.png,"8, 15, 23, 31, 38, 41"
862,862,862,862,862,862,862,862,862,862,Riesling Classic,2010,White wine,Riesling,60 ratings,"21,983",Querbach,100% Riesling,Germany / Rheingau,13.5,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/HUnozZYlQf6xbfmMwKlNug_pb_x600.png,"862, 1340, 1215, 1234, 307, 798"
863,863,863,863,863,863,863,863,863,863,A Quatre Mains Crozes-Hermitage,2017,Red wine,Shiraz/Syrah,61 ratings,"50,577",Fran筌_is Villard - Luc Baudet,Shiraz/Syrah,France / Rhone Valley / Northern Rh筌_e / Crozes-Hermitage,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/VWtz7swwTD27M5oPqMc5eQ_pb_x600.png,"1282, 1334, 936, 948, 581, 1610"
864,864,864,864,864,864,864,864,864,864,Enira Cabernet,2019,Red wine,Cabernet Sauvignon,61 ratings,"26,380",Bessa Valley,Cabernet Sauvignon,Bulgaria / Plovdiv / Pazardjik,13.5,,//images.vivino.com/thumbs/k5EamkbSRCCNywvP8I2umw_pb_x600.png,"8, 15, 23, 31, 38, 41"
865,865,865,865,865,865,865,865,865,865,Red,2017,Red wine,Blend,62 ratings,"39,457",The Paring,"Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot",United States / California / Central Coast / Santa Barbara County / Santa Ynez Valley,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/PFZJOVhtS5iavEZJnXOZhA_pb_x600.png,"1514, 274, 1143, 1212, 1299, 84"
866,866,866,866,866,866,866,866,866,866,Trebbiano Spoletino,2018,White wine,Trebbiano Spoletino,63 ratings,"51,858",Le Cimate,Trebbiano Spoletino,Italy / Umbria / Spoleto,13.5,"['Pasta', 'Vegetarian', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/7_bIO0AQTd-0AC4GvxRvpQ_pb_x600.png,"1695, 1633, 1162, 1165, 1445, 1753"
867,867,867,867,867,867,867,867,867,867,Ali Toscana Sangiovese,2020,Red wine,Sangiovese,65 ratings,"23,674",Donna Laura,100% Sangiovese,Italy / Toscana,13.0,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/ZxE9F5jQTwK1vM66NbaVPQ_pb_x600.png,"1516, 1490, 1697, 1732, 331, 285"
868,868,868,868,868,868,868,868,868,868,Verduno Pelaverga,2020,Red wine,Pelaverga piccolo,65 ratings,"54,113",San Biagio,Pelaverga piccolo,Italy / Piemonte / Verduno,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/8RACUkb0TZ-b2WsB5eXLsA_pb_x600.png,"1635, 1780, 1667, 1817, 392, 1649"
869,869,869,869,869,869,869,869,869,869,Entre-deux-Mers,2020,White wine,Sauvignon Blanc,65 ratings,"22,547",Ch筌_eau de Beauregard-Ducourt,Sauvignon Blanc,France / Bordeaux / Entre-deux-Mers,13.5,"['Pork', 'Vegetarian', 'Poultry', 'Appetizers and snacks', 'Lean fish']",//images.vivino.com/thumbs/sQfSkbcCQXiXBZEX-_Pn5g_pb_x600.png,"354, 1496, 1814, 1400, 1406, 1536"
870,870,870,870,870,870,870,870,870,870,County Pinot Noir Unfiltered,2017,Red wine,Pinot Noir,65 ratings,"60,877",Norman Hardie,100% Pinot Noir,Canada / Ontario / Prince Edward County,12.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/7sPyuSCiTqmPo9i2dtGNTA_pb_x600.png,"448, 812, 1310, 326, 601, 352"
871,871,871,871,871,871,871,871,871,871,Little Yering Shiraz,2018,Red wine,Shiraz/Syrah,67 ratings,"24,576",Yering Station,100% Shiraz/Syrah,Australia / Victoria / Port Phillip / Yarra Valley,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/rbMwij7CTeKhwDlJslCGWQ_pb_x600.png,"1744, 606, 1506, 117, 1582, 1796"
872,872,872,872,872,872,872,872,872,872,Pinot Noir,2016,Red wine,Pinot Noir,66 ratings,"39,232",Ca' Momi,Pinot Noir,United States / California / North Coast / Napa County / Napa Valley,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/SBw6wxdGSmOlh_VqSMgJMQ_pb_x600.png,"731, 1214, 719, 378, 1552, 563"
873,873,873,873,873,873,873,873,873,873,Pinot Noir,2015,Red wine,Pinot Noir,66 ratings,"51,858",Hidden Bench,Pinot Noir,Canada / Ontario / Niagara Peninsula / Niagara Escarpment - Ontario / Beamsville Bench,13.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/VZfwc_ZBTvGpa_0o2AUCHg_pb_x600.png,"873, 908, 1756, 478, 352, 829"
874,874,874,874,874,874,874,874,874,874,Estate Sta. Rita Hills Pinot Noir,2020,Red wine,Pinot Noir,69 ratings,"73,278",Melville,100% Pinot Noir,United States / California / Central Coast / Santa Barbara County / Sta. Rita Hills,14.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/Rx7cXeA9SYSTjRlI2wEERA_pb_x600.png,"1921, 1650, 509, 666, 213, 1495"
875,875,875,875,875,875,875,875,875,875,Abruzzo Pecorino,2020,White wine,Pecorino,68 ratings,"37,653",Marramiero,Pecorino,Italy / Abruzzo,13.0,"['Pasta', 'Vegetarian', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/wOTXcDhcSEqPaJrtDYdFjw_pb_x600.png,"553, 813, 1709, 717, 1827, 653"
876,876,876,876,876,876,876,876,876,876,Wild,2018,Red wine,Tempranillo,70 ratings,"27,620",Pico Cuadro,Tempranillo,Spain / Castilla y Le筌_ / Ribera del Duero,13.5,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/WN3Zz0RtQmaoirUqvqlLug_pb_x600.png,"876, 530, 1233, 528, 1453, 402"
877,877,877,877,877,877,877,877,877,877,Pinot Noir (County Cuve_),2018,Red wine,Pinot Noir,70 ratings,"46,631",Lucky Rock,100% Pinot Noir,United States / California / North Coast / Sonoma County,14.0,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/FF3KfQmsS-Ocnog9QkGePw_pb_x600.png,"901, 337, 1174, 1921, 1397, 666"
878,878,878,878,878,878,878,878,878,878,Ribbon Vale Vineyard Semillon - Sauvignon Blanc,2017,White wine,Blend,71 ratings,"41,148",Moss Wood,"S筌_illon, Sauvignon Blanc",Australia / Western Australia / South West Australia / Margaret River,12.5,,//images.vivino.com/thumbs/snf7o-4PSiqML1cqSsZt_Q_pb_x600.png,"8, 15, 23, 31, 38, 41"
879,879,879,879,879,879,879,879,879,879,Malvasia,2018,White wine,Malvasia,72 ratings,"46,221",Kante,100% Malvasia,Italy / Friuli-Venezia Giulia / Carso,12.5,"['Pasta', 'Shellfish', 'Mature and hard cheese', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/WAEhfsQFTnKk0rXUU31jsQ_pb_x600.png,"1475, 1135, 1185, 1655, 958, 1885"
880,880,880,880,880,880,880,880,880,880,Marsannay 'Clos du Roy',2011,Red wine,Pinot Nero,72 ratings,"210,814",Sylvain Pataille,Pinot Nero,France / Bourgogne / C筌_e de Nuits / Marsannay,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/n-mao8xmRyyGCW_BzJI8bw_pb_x600.png,"1300, 1324, 1062, 1477, 668, 1210"
881,881,881,881,881,881,881,881,881,881,Givry Buissonnier Rouge,2018,Red wine,Pinot Noir,72 ratings,"41,035",Vignerons de Buxy,Pinot Noir,France / Bourgogne / C筌_e Chalonnaise / Givry,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/I01H-nxHR-GOLLBIykjvkw_pb_x600.png,"1398, 1532, 1026, 1429, 1061, 818"
