,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1710,1710,1710,1710,Lote Especial Sauvignon Blanc,2016,White wine,Sauvignon Blanc,135 ratings,"50,731",//images.vivino.com/thumbs/NWchXcFsRK6nzcO6A3Yp7w_pb_x600.png
1711,1711,1711,1711,Vignalina,2018,Red wine,Barbera,117 ratings,"36,413",//images.vivino.com/thumbs/TO-qJcxHS0CMe6RUao-iYQ_pb_x600.png
1712,1712,1712,1712,Bourgogne Hautes Ce_es de Nuits Rouge,2019,Red wine,Pinot Noir,99 ratings,"54,113",//images.vivino.com/thumbs/bVcCT-G0R0aZji4GkhAZ9Q_pb_x600.png
1713,1713,1713,1713,Chardonnay,2017,White wine,Chardonnay,100 ratings,"62,004",//images.vivino.com/thumbs/eUEDToSdT1-kK8wAIrKl9w_pb_x600.png
1714,1714,1714,1714,Not,2018,White wine,Pinot Gris,102 ratings,"67,190",//images.vivino.com/thumbs/gkda846ASLGA4lgM7Okptw_pb_x600.png
1715,1715,1715,1715,Llum,2016,White wine,Grenache Gris,102 ratings,"54,881",//images.vivino.com/thumbs/zREL3IsKRi2WxRZekVgLbg_pb_x600.png
1716,1716,1716,1716,Lauren's Single Vineyard Agrelo Petit Verdot,2017,Red wine,Petit Verdot,102 ratings,"56,367",//images.vivino.com/thumbs/cpJx1lWaSrO5e-cbfbX0rQ_pb_x600.png
1717,1717,1717,1717,Costa da' Posa,2020,White wine,Blend,102 ratings,"32,855",//images.vivino.com/thumbs/FZn_SYNdQoalUebRxZc5UQ_pb_x600.png
1718,1718,1718,1718,Chablis,2020,White wine,Chardonnay,105 ratings,"34,384",//images.vivino.com/thumbs/dP2p-75OSai_2GK4UpK5fw_pb_x600.png
1719,1719,1719,1719,"Luxe, Calme et Volupte",2017,Red wine,Blend,105 ratings,"44,663",//images.vivino.com/thumbs/EdDuvjCiRUGeIT-Pvt4uXw_pb_x600.png
1720,1720,1720,1720,Ce_es du Rhe_e,2019,Red wine,Blend,104 ratings,"30,746",//images.vivino.com/thumbs/Zwrkxta4TAeLhjUTArhlLg_pb_x600.png
1721,1721,1721,1721,Libalis Blanco,2020,White wine,Moscatel de grano menudo,110 ratings,"20,292",//images.vivino.com/thumbs/ezbcZ2djRoymxrbwn7QtgQ_pb_x600.png
1722,1722,1722,1722,Les Borderies Montlouis-sur-Loire,2015,White wine,Chenin Blanc,112 ratings,"47,882",//images.vivino.com/thumbs/zgA_4nnCQIq1f-h2Kp-5MQ_pb_x600.png
1723,1723,1723,1723,Pinot Grigio,2020,White wine,Pinot Grigio,114 ratings,"41,035",//images.vivino.com/thumbs/apUzla0-SAKicD1Jwper5Q_pb_x600.png
1724,1724,1724,1724,Heritage Shiraz,2017,Red wine,Shiraz/Syrah,115 ratings,"25,253",//images.vivino.com/thumbs/atbVaKykQP2gHjRXE1-Ebw_pb_x600.png
1725,1725,1725,1725,Grande Re_erve Che_eauneuf-du-Pape,2013,Red wine,Blend,116 ratings,"98,458",//images.vivino.com/thumbs/MRpDgzqIRB-8CgBoDXzXmA_pb_x600.png
1726,1726,1726,1726,Soave,2018,White wine,Blend,76 ratings,"37,202",//images.vivino.com/thumbs/SCT8rpLRTQivC0q1MY1C9w_pb_x600.png
1727,1727,1727,1727,Reciso Sangiovese,2013,Red wine,Sangiovese,117 ratings,"65,386",//images.vivino.com/thumbs/laD8D_o6RayZWBIp52h2gw_pb_x600.png
1728,1728,1728,1728,Ghemme,2011,Red wine,Nebbiolo,119 ratings,"72,150",//images.vivino.com/thumbs/6t4_fFg2RiiXgfWqauS09w_pb_x600.png
1729,1729,1729,1729,Lusco Albarie_,2021,White wine,Albarie_,124 ratings,"33,615",//images.vivino.com/thumbs/NAwbc6zdRqK4JnDYt9ikng_pb_x600.png
1730,1730,1730,1730,Langhe Chardonnay Educato,2020,White wine,Chardonnay,120 ratings,"57,495",//images.vivino.com/thumbs/nr4kxSYMRYOUFJVNw1E4Tg_pb_x600.png
