wine_id,name,vintage,wine_type,grape_simple,rating_mean,rating_num,price,kprice,Winery,Grapes,Region,Wine style,Alcohol content,Allergens,Pairings,imgurl,link,LightBold,SmoothTannic,DrySweet,SoftAcidic,GentleFizzy
1623,Akmï§_ine Sancerre,2012,White wine,Sauvignon Blanc,4.0,452 ratings,"ï§4,290","43,967",Sï§_astien Riffault,Sauvignon Blanc,France / Loire Valley / Upper Loire / Sancerre,Upper Loire White,13.5,Contains sulfites,"['Pork', 'Shellfish', 'Spicy food', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/wtnNlFheTOGH99dO1jQpbg_pb_x600.png,https://www.vivino.com//JP/en/etienne-et-sebastien-riffault-akmenine-sancerre/w/1211354?year=2012&price_id=26642662,30.93258823529412,54.36922352941176,9.787505882352942,77.39435294117648,0.0
1624,I Sistri Chardonnay,2018,White wine,Chardonnay,4.0,455 ratings,"ï§3,850","39,457",Fï§_sina,100% Chardonnay,Italy / Toscana,Central Italy White,13.5,Contains sulfites,"['Pasta', 'Vegetarian', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/nvdNlcdWQkm58hfWvYX1Gg_pb_x600.png,https://www.vivino.com//JP/en/it-felsina-i-sistri-chardonnay/w/18445?year=2018&price_id=29446369,54.32117647058824,54.36922352941176,34.21494117647059,74.01552941176472,0.0
1625,Dream Vintage Brut Champagne Grand Cru 'Bouzy',2012,Sparkling wine,Chardonnay,4.0,470 ratings,"ï§10,956","112,284",Andre Clouet,100% Chardonnay,France / Champagne / Montagne de Reims / Champagne Grand Cru 'Bouzy',French Champagne,12.0,Contains sulfites,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/ZQ2iNj1WTe6ZZgdLPVKErg_pb_x600.png,https://www.vivino.com//JP/en/champagne-andre-clouet-dream-vintage-brut-champagne-grand-cru-bouzy/w/5143755?year=2012&price_id=28662187,78.74705882352941,54.36922352941176,15.969529411764706,87.5424705882353,85.82282352941176
1626,Les Grands Chaillots Bourgogne,2017,Red wine,Pinot Noir,4.0,482 ratings,"ï§8,756","89,737",Thibault Liger-Belair,100% Pinot Noir,France / Bourgogne,Burgundy Red,13.0,Contains sulfites,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/6kqp5j-WSjKPb389zXrUOQ_pb_x600.png,https://www.vivino.com//JP/en/thibault-les-grands-chaillots-bourgogne/w/1210262?year=2017&price_id=27848639,37.569647058823534,29.62847058823529,8.45924705882353,75.42694117647059,0.0
1627,Neverland Cabernet Sauvignon,2017,Red wine,Cabernet Sauvignon,4.0,507 ratings,"ï§3,630","37,202",Field Recordings,100% Cabernet Sauvignon,United States / California / Central Coast / Santa Barbara County,Californian Bordeaux Blend,13.9,Contains sulfites,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/1scydUlUQ52qJ4OyFKSH5w_pb_x600.png,https://www.vivino.com//JP/en/field-recordings-neverland-cabernet-sauvignon/w/4213711?year=2017&price_id=20949916,100.0,70.05023529411766,11.92329411764706,74.93858823529412,0.0
1628,Francs - Cï§_es de Bordeaux,2011,Red wine,Blend,4.0,511 ratings,"ï§19,800","202,923",Chï§_eau le Puy,"Cabernet Sauvignon, Cabernet Franc, Merlot",France / Bordeaux / Cï§_es de Bordeaux / Francs - Cï§_es de Bordeaux,Bordeaux Red,13.5,Contains sulfites,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/RUG-BRBtTX-NXk8SWjDOXQ_pb_x600.png,https://www.vivino.com//JP/en/chateau-le-puy-francs-cotes-de-bordeaux/w/1157718?year=2011&price_id=26412121,69.77458823529412,66.8229411764706,2.356435294117647,74.8024705882353,0.0
1629,Dream Vintage Brut Champagne Grand Cru 'Bouzy',2009,Sparkling wine,Chardonnay,4.0,520 ratings,"ï§13,156","134,831",Andre Clouet,100% Chardonnay,France / Champagne / Montagne de Reims / Champagne Grand Cru 'Bouzy',French Champagne,12.5,Contains sulfites,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/ZQ2iNj1WTe6ZZgdLPVKErg_pb_x600.png,https://www.vivino.com//JP/en/champagne-andre-clouet-dream-vintage-brut-champagne-grand-cru-bouzy/w/5143755?year=2009&price_id=27765123,78.74705882352941,54.36922352941176,15.969529411764706,87.5424705882353,85.82282352941176
1630,Cuvï§_ de Buretel Brut Champagne Grand Cru,2016,Sparkling wine,Blend,4.0,528 ratings,"ï§6,600","67,641",Guy de Chassey,"Chardonnay, Pinot Noir, Pinot Blanc",France / Champagne / Champagne Grand Cru,French Champagne,13.5,Contains sulfites,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/GTiEtj1PSlmPuUBkmmSs8g_pb_x600.png,https://www.vivino.com//JP/en/guy-de-chassey-cuvee-de-buretel-brut-champagne-grand-cru/w/2488002?price_id=26827065,71.732,54.36922352941176,15.969529411764706,90.19329411764706,87.45470588235294
1631,Rosso di Montalcino,2018,Red wine,Sangiovese,4.0,536 ratings,"ï§4,070","41,712",Collosorbo,100% Sangiovese,Italy / Toscana / Rosso di Montalcino,Tuscan Red,14.0,Contains sulfites,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",//images.vivino.com/thumbs/g_WUdY4kQ5SPOR4SqUjzzQ_pb_x600.png,https://www.vivino.com//JP/en/it-collosorbo-rosso-di-montalcino/w/94969?year=2018&price_id=29201681,54.74400000000001,47.960235294117645,10.508317647058822,52.79188235294118,0.0
1632,Cuvï§_ Rï§_erve Brut Champagne Grand Cru 'Verzenay',2016,Sparkling wine,Blend,4.0,542 ratings,"ï§7,300","74,815",Jean Lallement,"Pinot Meunier, Pinot Noir, Chardonnay",France / Champagne / Montagne de Reims / Champagne Grand Cru 'Verzenay',French Champagne,13.5,Contains sulfites,"['Pork', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese']",//images.vivino.com/thumbs/jk-xi9F1S4WSEJ9mu0tp_A_pb_x600.png,https://www.vivino.com//JP/en/jean-lallement-cuvee-reserve-brut-champagne-grand-cru-verzenay/w/1382042?price_id=26248995,73.15588235294118,54.36922352941176,15.969529411764706,87.7724705882353,86.78564705882353
