wine_id,name,wine_type,rating_mean,rating_num,kprice,Alcohol_content,Pairings,Light_Bold,Smooth_Tannic,Dry_Sweet,Soft_Acidic,vintage,grape_simple,Winery,Grapes,Region,Wine style,Allergens,imgurl,link
22,Woodfired Cabernet Sauvignon,Red,3.5,82,31648.0,13.5,"['Beef', 'Lamb', 'Poultry']",80.15364705882354,59.58270588235294,14.678117647058825,56.29376470588235,2019,Cabernet Sauvignon,De Bortoli,Cabernet Sauvignon,Australia / Victoria / Central Victoria / Heathcote,Australian Cabernet Sauvignon,Contains sulfites,https://images.vivino.com/thumbs/uTjGtdu4RhW0E4c8injQCQ_pb_x600.png,https://www.vivino.com//JP/en/de-bortoli-woodfired-cabernet-sauvignon/w/7526148?year=2019&price_id=29017457
23,Cuvee Pierre Blanche,Red,3.5,74,13054.18,13.5,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2018,Blend,Chï§_eau Gressina,"95% Merlot, 5% Cabernet Sauvignon",France / Bordeaux / Cï§_es de Bordeaux / Blaye - Cï§_es de Bordeaux,,Contains sulfites,https://images.vivino.com/thumbs/vbVCxUBXQ1ygRZnXQw1Jkg_pb_x600.png,https://www.vivino.com//JP/en/chateau-gressina-cuvee-pierre-blanche/w/3761220?year=2018&price_id=26207056
24,Mï§_oc,Red,3.5,306,29209.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.47811764705882,80.26670588235294,6.013741176470588,86.55188235294119,2010,Blend,Chï§_eau Carcanieux,"45% Cabernet Sauvignon, 40% Merlot, 10% Cabernet Franc, 5% Petit Verdot",France / Bordeaux / Mï§_oc,Bordeaux Mï§_oc,Contains sulfites,https://images.vivino.com/thumbs/semq7kYRR4a0lvwhAYRl9A_pb_x600.png,https://www.vivino.com//JP/en/carcanieux-medoc/w/1509898?year=2010&price_id=29405101
25,Cupatge,Red,3.5,70,20497.0,14.0,"['Beef', 'Pasta', 'Veal', 'Poultry']",65.15717647058824,46.7175294117647,21.122000000000003,50.91070588235294,2019,Blend,Herï§_cia Altï§_,"Shiraz/Syrah, Cabernet Sauvignon, Grenache, Carignan",Spain / Catalunya / Terra Alta,Spanish Red,Contains sulfites,https://images.vivino.com/thumbs/fDvZoVl9T8yz_wDmjHXy-w_pb_x600.png,https://www.vivino.com//JP/en/herencia-altes-cupatge/w/4117590?year=2019&price_id=27703546
26,Red,Red,4.1,31,54830.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",100.0,74.05517647058824,11.697035294117647,63.51117647058823,2017,Cabernet Sauvignon,Bon Ton,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley,Napa Valley Cabernet Sauvignon,Contains sulfites,https://images.vivino.com/thumbs/N67DHPKZQGyFH1M1HpZr7Q_pb_x600.png,https://www.vivino.com//JP/en/bon-ton-red/w/7976054?year=2017&price_id=29190202
27,El Picaro,Red,3.8,3328,22547.0,14.5,"['Beef', 'Lamb', 'Game (deer, venison)']",89.62941176470589,60.84835294117647,9.207764705882353,43.55623529411764,2020,Tinta de toro,Matsu,100% Tinta de toro,Spain / Castilla y Leï§_ / Toro,Spanish Toro Red,Contains sulfites,https://images.vivino.com/thumbs/GxOZfMMRR9GfvydVe7Icmg_pb_x600.png,https://www.vivino.com//JP/en/matsu-el-picaro/w/1169235?year=2020&price_id=26508011
28,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,Sparkling,3.8,3797,37202.0,11.0,"['Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Aperitif', 'Cured Meat']",25.26023529411765,54.36922352941176,15.969529411764706,73.27976470588236,2016,Glera,Adami,100% Glera,Italy / Veneto / Prosecco / Conegliano-Valdobbiadene Prosecco,Italian Prosecco,Contains sulfites,https://images.vivino.com/thumbs/6PW5_5tmR6GeHTMVXHJfpw_pb_x600.png,https://www.vivino.com//JP/en/adami-bosco-di-gica-valdobbiadene-prosecco-superiore-brut/w/1211639?price_id=25900745
29,Costa Cuarzo Sauvignon Blanc,White,3.9,33,24238.0,13.5,"['Shellfish', 'Vegetarian', 'Goat cheese']",47.28094117647059,54.36922352941176,4.704070588235294,75.90411764705883,2021,Sauvignon Blanc,Koyle,Sauvignon Blanc,Chile / Central Valley / Rapel Valley / Colchagua Valley,Chilean Sauvignon Blanc,Contains sulfites,https://images.vivino.com/thumbs/c0k2mIqJRs-DZlYDuzfb7w_pb_x600.png,https://www.vivino.com//JP/en/koyle-costa-cuarzo-sauvignon-blanc-colchagua-valley/w/6118577?year=2021&price_id=27664948
30,Coq  Vino,Red,3.9,34,38842.0,13.5,"['Beef', 'Pasta', 'Veal']",71.38094117647059,66.99435294117647,15.969529411764706,69.2829411764706,2018,Blend,Domaine Poivre d'_e,"Shiraz/Syrah, Grenache, Carignan",France / Languedoc-Roussillon / Languedoc,Languedoc-Roussillon Red,Contains sulfites,https://images.vivino.com/thumbs/ZtR8V2r8R9m-Fg90Y3tsTQ_pb_x600.png,https://www.vivino.com//JP/en/domaine-poivre-d-ane-coq-o-vino/w/7777917?year=2018&price_id=26414115
31,Sï§ Alto,Sparkling,3.9,34,32693.0,13.5,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2017,Glera,L'Antica Quercia,Glera,Italy / Veneto / Colli di Conegliano,,Contains sulfites,https://images.vivino.com/thumbs/orE-unhxTsOCHRrfUl_r7A_150x200.jpg,https://www.vivino.com//JP/en/lantica-quercia-su-alto/w/5250215?year=2017&price_id=29161018
32,Aquitaine Cabernet Sauvignon,Red,3.9,34,37059.0,13.5,"['Beef', 'Lamb', 'Poultry']",79.072,64.53882352941176,8.370329411764706,61.50517647058824,2017,Cabernet Sauvignon,Plantagenet,Cabernet Sauvignon,Australia / Western Australia / South West Australia / Great Southern / Mount Barker,Australian Cabernet Sauvignon,Contains sulfites,https://images.vivino.com/thumbs/ocTpPiT4Sy6d8uDBBxVJLw_pb_x600.png,https://www.vivino.com//JP/en/au-plantagenet-aquitaine-cabernet-sauvignon-mount-barker/w/4873729?year=2017&price_id=29017436
33,Antona Garcia,Red,3.9,35,57495.0,14.5,"['Beef', 'Lamb', 'Game (deer, venison)']",87.70611764705883,65.06211764705883,17.244470588235295,44.22611764705882,2017,Tinta de toro,Rejadorada,100% Tinta de toro,Spain / Castilla y Leï§_ / Toro,Spanish Toro Red,Contains sulfites,https://images.vivino.com/thumbs/VAJM4Bk-TT6yZCYsluPKKQ_pb_x600.png,https://www.vivino.com//JP/en/rejadorada-antona-garcia/w/4397263?year=2017&price_id=28994542
34,Chardonnay,White,3.9,35,35255.0,13.5,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",65.85682352941177,54.36922352941176,4.7168117647058825,57.253294117647066,2018,Chardonnay,Framingham,Chardonnay,New Zealand / South Island / Marlborough,New Zealand Chardonnay,Contains sulfites,https://images.vivino.com/thumbs/SnNiBc8CTDeEqMtVmTjR4A_pb_x600.png,https://www.vivino.com//JP/en/framingham-chardonnay/w/1123134?year=2018&price_id=25860247
35,Les Contreforts de Montmirail Beaumes-de-Venise,Red,3.9,35,52985.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)']",68.21517647058823,54.78235294117647,9.149623529411766,65.92317647058825,2019,Blend,Chï§_eau La Croix des Pins,"Shiraz/Syrah, Grenache",France / Rhone Valley / Southern Rhï§_e / Beaumes-de-Venise,Southern Rhï§_e Red,Contains sulfites,https://images.vivino.com/thumbs/Pr0uvSXPQuKM42r1QvAabA_pb_x600.png,https://www.vivino.com//JP/en/croix-des-pins-les-contreforts-de-montmirail-beaumes-de-venise/w/4467041?year=2019&price_id=26458930
36,Jean Pull,Red,3.9,36,33902.0,13.5,"['Beef', 'Pasta', 'Veal']",78.85517647058823,67.53752941176471,9.299588235294118,77.0824705882353,2018,Blend,Domaine des Soulanes,"Grenache, Carignan",France / Vin de Pays / Pays d'Oc / Cï§_es Catalanes,Languedoc-Roussillon Red,Contains sulfites,https://images.vivino.com/thumbs/xNDh-oi2Q6OpllYU9EtToQ_pb_x600.png,https://www.vivino.com//JP/en/domaine-des-soulanes-jean-pull/w/1662855?year=2018&price_id=25837696
37,Le Grand Clos,White,3.9,36,64023.0,13.5,"['Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry', 'Mild and soft cheese']",29.163411764705884,54.36922352941176,15.969529411764706,98.64047058823527,2019,Chenin Blanc,Le Rocher des Violettes,Chenin Blanc,France / Loire Valley / Middle Loire / Touraine / Montlouis-sur-Loire,Loire Chenin Blanc,Contains sulfites,https://images.vivino.com/thumbs/mECuLHIESy-VCqQXCnDSfA_pb_x600.png,https://www.vivino.com//JP/en/le-rocher-des-violettes-le-grand-clos/w/9990642?year=2019&price_id=29200553
38,Tï§_e d'Ange,White,3.9,37,33718.0,13.5,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2020,Chenin Blanc,Manoir de la Tï§_e Rouge,Chenin Blanc,France / Loire Valley / Middle Loire / Saumur,,Contains sulfites,https://images.vivino.com/thumbs/ck8d88wVTkiF6V4GeGtZUg_pb_x600.png,https://www.vivino.com//JP/en/manoir-de-la-tete-tete-d-ange-saumur/w/1133467?year=2020&price_id=29028362
